Name,Measurements,Date of Birth,Hair color,Height,Weight
Amanda Vamp,34A-24-37,10/19/1989,,5-2,110
Amanda West,,,,,
Amanda White,36HH-30-36,2/24/1982,Black,5-5,No data
Amanda X,38E-26-41,10/9/1979,,5-9,130
Amandah Matarazzo,,,,,
Amara Heart,32A-23-33,1/4/1989,,5-4,110
Amara Romani,34B-24-36,3/25/1993,,5-1,110
Amarna Miller,33C-23-35,10/29/1990,,5-7,110
Amatuer Cindee,,,,,
Ambar Isbell,34B-25-35,,,5-10,115
Amber Alexis,36D-26-36,,,5-2,141
Amber Ann,,,,,
Amber Ashley,,3/24/1985,,,
Amber Brooks,,,,,
Amber Campisi,,,,,
Amber Chase,34A-25-34,7/12/1979,,5-9,115
Amber Cox,32D-22-33,7/9/1985,,5-11,106
Amber Daikiri,36A-25-36,7/23/1993,,5-11,121
Amber Dawn,36C-26-40,8/6/1976,,5-11,130
Amber Easton,,,,,
Amber Evans,,,,,
Amber Fuentes,,,,,
Amber Irons,,,,,
Amber Ivy,34C-26-36,11/6/1993,,5-7,121
Amber Jenson,,,,,
Amber Kane,,12/12/1984,,5-10,99
Amber Keen,,7/11/1984,,5-11,
Amber Koal,,,,,
Amber Lee,34C-24-32,,,5-6,99
Amber Leigh,34DD-26-36,,,5-10,130
Amber Lynn Bach,,,,,
Amber Lynn,37-23-36,9/3/1963,Blonde,5-7,129
Amber Marie,,,,,
Amber Michaels,34DD-24-35,11/17/1968,Blonde,5-4,103
Amber Moon,,,,,
Amber Nevada,34A-24-36,4/11/1990,,5-1,121
Amber Peach,34B-25-36,12/3/1983,Brown/Blonde,5-2,118
Amber Rain,34B-26-36,11/7/1983,Blonde,5-3,101
Amber Rayne,32A-22-24,9/19/1984,Brown,5-3,110
Amber Sex,,,,,
Amber Sexxam,,,,,
Amber Simpson,34A,11/4/1983,Brown,5-6,No data
Amber Sky,34A-27-39,,,5-1,126
Amber Star,32A-22-24,8/25/1983,,5-7,110
Amber Stars,36C-26-36,4/15/1989,,5-1,132
Amber Steel,34A-27-34,12/7/1977,,5-0,108
Amber Stone,,,,,
Amber Stylez,,,,,
Amber Sun,,10/31/1989,,5-9,110
Amber Swallows,38D-32-46,3/11/1984,,5-11,181
Amber Swift,32B-27-30,6/3/1991,,5-1,99
Amber Sym,34C-24-34,11/4/1989,,5-11,106
Amber Taylor,,,,,
Amber Ways,34C-26-34,,,5-9,108
Amber Wild,32B-26-32,6/26/1982,Blonde,5-1,99
Amber Wood,36C-26-34,7/16/1972,,5-2,121
Amber Woods,36C-26-34,7/16/1972,,5-0,115
Amberlina Lynn,34A-22-35,12/31/1979,,5-2,115
Amberlyn Scott,,,,,
Ameara Levay,,9/1/1983,,5-9,106
Amee Donavan,36C-24-34,9/7/1980,Red,5-1,105
Amelia Hayes,,,,,
Amelia Rose,34B-24-36,1/7/1988,,5-0,106
Amelie Pure,32A-23-34,3/8/1990,,5-6,115
Amenah Blu,,,,,
Amerie Dior,,,,,
Amerie Thomas,36G-34-48,,,5-9,181
Ami Ayukawa,,,,,
Ami Charms,38DD-28-38,4/4/1961,,5-0,128
Ami Emerson,36B-27-38,2/10/1984,,5-0,130
Ami Jordan,36DD-25-36,8/23/1990,,5-11,128
Amia More,33B-24-35,11/23/1990,,5-6,99
Amia Moretti,,11/23/1990,,,
Amiee Cambridge,34C-26-38,,,5-7,99
Amile Waters,36B-28-38,4/25/1985,,5-9,130
Amina Amore,36C-26-38,12/7/1984,,5-11,130
Amina Sky,34B-27-34,No data,Brown,5-3,105
Amira De Leon,32A-27-30,,,5-5,
Amira Love,,,,,
Amirah Adara,32A-23-34,2/17/1992,,5-11,101
Amora Snow,,,,,
Amy Amour,32B-24-28,11/17/1986,,4-8,110
Amy Anderson,34B-26-36,11/30/1991,,5-1,115
Amy Anderssen,40HH-26-36,5/4/1985,,5-11,126
Amy Applebottom,34C-27-30,6/25/1985,,5-7,130
Amy Black,,3/10/1983,,5-3,115
Amy Brooke,34C-24-36,6/25/1988,,5-7,108
Amy Easton,,,,,
Amy Faye,32A-25-36,8/4/1991,,4-8,106
Amy Fisher,34D-24-34,8/21/1974,,5-4,101
Amy Hunter,36C-32-37,,,5-2,
Amy Isom,,,,,
Amy Johnson,,9/23/1984,,5-8,139
Amy Lee,32A-22-32,8/20/1979,Brown,5-5,101
Amy Lynn Baxter,,,,,
Amy McCarthy,,,,,
Amy Miller,,,,,
Amy Money,,,,,
Amy Moore,32B-29-36,,,5-7,130
Amy Quinn,32C-24-32,10/6/1986,,5-11,90
Amy Reid,34DD-23-35,4/15/1985,Brown/Auburn/Honey Blonde,5-7,116
Amy Shine,34B-24-35,4/13/1984,Brown,5-7,105
Amy Starz,34B-29-32,12/2/1989,,5-4,115
Amy Sue Cooper,,,,,
Amy Sutter,,,,,
Amy Thiest,36B-28-36,3/31/1978,,5-7,99
Amy Valdez,,,,,
Amy Valor,34D-25-38,1/13/1987,,5-7,132
Amy Warner,,,,,
Amy Wild,34D-26-37,4/9/1994,,5-4,119
Amythiest Stone,No data,3/31/1978,Brown,5-4,99
Ana Adams,32B-22-24,7/9/1986,,5-1,104
Ana Alonso,,,,,
Ana Anderson,44DD-34-40,,,5-8,187
Ana Carolina,34B-28-36,10/25/1978,,5-7,119
Ana Damato,,,,,
Ana Everjoy,,,,,
Ana Foxxx,32B-26-36,10/29/1988,,5-7,130
Ana Gaucha,,,,,
Ana Harnal,,4/26/1974,,,
Ana Love,,,,,
Ana Lya,,,,,
Ana Marco,34B-23-35,3/17/1993,,5-10,110
Ana Martin,33E-24-35,6/2/1982,,5-4,110
Ana Montereal,,,,,
Ana Nova,36D-24-38,6/5/1975,Black/Brown/Blonde,5-6,127
Ana Paula,,,,,
Ana Ribera,34D-24-35,1/8/1990,,5-0,115
Ana Rock,,,,,
Ana Rose,36D-25-36,9/5/1995,,5-4,106
Ana Touche,35B-24-35,2/12/1978,,5-9,115
Ana X,,10/14/1968,,5-9,126
Anabel Chong,,,,,
Anais Alexander,32C-24-32,2/3/1984,Blonde,5-6,No data
Anais Hills,42D-29-39,10/6/1988,,5-0,137
Anais Lefey,,,,,
Analee Sands,38F-36-40,4/10/1982,,5-4,198
Analise Hayes,,,,,
Analyssa,No data,No data,Black,No data,No data
Ananta Shakti,38A-24-35,7/22/1987,,5-9,115
Anastasia Black,32C-24-34,1/1/1994,,5-7,135
Anastasia Blake,36DD-30-38,,,5-10,130
Anastasia Blonde,,9/26/1995,,,
Anastasia Blue,34B-24-34,11/6/1975,Blonde,5-3,105
Anastasia Brill,34D-24-33,12/31/1991,,5-10,117
Anastasia Christ,36C-27-36,7/6/1982,Blonde,5-8,116
Anastasia Delani,,,,5-0,126
Anastasia Devine,36D-27-37,10/12/1982,,5-2,108
Anastasia Ivanova,36C-27-37,6/11/1990,,5-7,117
Anastasia Lee,,,,,
Anastasia Lux,32H-28-40,11/19/1986,,5-4,176
Anastasia Mayo,34C-24-33,4/17/1980,Blonde/Dirty Blonde,5-1,103
Anastasia Morna,34B-31-34,3/15/1990,,5-10,135
Anastasia Pierce,36C-26-36,No data,Brown,5-10,129
Anastasia Rose,34D-25-36,6/24/1997,,5-7,115
Anastasia Rush,,,,,
Anastasia Squirt,32A-21-21,1/14/1985,,5-6,
Anastasia Starr,,,,,
Anastasia Sweet,36DDD-27-37,6/8/1995,,5-0,
Anastasia Worley,,,,,
Anastaysha Benz,,,,5-0,143
Anaya Lee,32A-24-34,6/2/1988,,5-1,108
Anaya Leon,32B-24-34,6/2/1988,,5-1,108
Ander Page,34B-25-35,1/28/1980,Black,5-7,110
Ander Paige,34B-25-35,7/28/1980,,5-5,110
Andi Adams,,,,,
Andi Allison,,,,,
Andi Anderson,34DD-24-34,8/15/1987,,5-4,110
Andi Ashton,34B-28-38,1/1/1988,,5-6,130
Andi Roxxx,34B-26-37,7/17/1965,,5-5,141
Andi Sue Irwin,,,,,
Andie Valentino,34D-26-35,2/1/1988,Brown,5-3,105
Andre Madness,,,,,
Andre Shakti,,,,,
Andrea Acosta,34C-25-34,7/3/1981,,5-11,115
Andrea Anderson,34A-23-35,11/9/1987,,5-9,90
Andrea Ash,36C-26-36,,,5-1,106
Andrea B,,5/8/1963,,,
Andrea Black,,3/14/1984,,5-2,115
Andrea Cum,,,,,
Andrea D,,5/3/1992,,,
Andrea Di Angelo,,,,,
Andrea Evans,,,,,
Andrea Francis,34B-27-36,4/28/1988,,5-5,121
Andrea Hercogova,36DD-25-36,2/6/1978,Black/Brown,5-10,121
Andrea Jaxx,34DD-24-34,6/20/1974,,4-8,108
Andrea Jolie,,,,,
Andrea Kelly,34B-24-34,2/2/1989,,4-8,104
Andrea Lavares,,,,,
Andrea Legacy,,,,,
Andrea Lucci,,,,,
Andrea Mirage,,,,,
Andrea Monett,32A-25-34,,,5-8,121
Andrea Mrnkova,,,,,
Andrea Nobili,,2/25/1958,,,
Andrea Renee,,,,,
Andrea Sky,,,,,
Andrea Spinks,32A-25-34,1/28/1979,,5-1,99
Andrea Summer,,,,,
Andrea Torres,,,,,
Andrea True,No data,7/26/1943,Brown/Blonde,No data,No data
Andrea Veresova,,,,,
Andrea Wenc,,,,,
Andrea Wild,34B-24-34,9/15/1980,,5-6,112
Andrea Zambo,,,,,
Andreas Cuevas,,,,,
Andreia Mel,,,,,
Andy Brown,34B-26-36,11/7/1983,Brown,5-9,116
Andy Klein,,,,,
Andy Ray,,,,,
Andy San Dimas,34C-25-34,10/3/1986,,5-11,123
Anell,,,,,
Aneta Buena,,,,,
Aneta Head,,3/22/1986,,,
Anetta Keys,35-23-35,11/18/1983,Brown,5-5,103
Anette A Cock,36D-27-37,10/13/1983,,5-5,146
Anette Dawn,,,,,
Anette Heyes,,,,,
Ange Venus,32D-20-32,4/8/1969,,5-2,106
Angel Aim,,,,,
Angel Allwood,36DD-28-38,2/1/1980,,5-7,130
Angel Amor,32C-24-35,8/31/1989,,5-4,115
Angel Ashton,,,,,
Angel B,36D-23-34,10/25/1987,,5-7,121
Angel Baby,,5/8/1987,,,
Angel Banxxx,,,,,
Angel Blade,34B-28-39,2/26/1992,,5-7,121
Angel Blonde,,,,,
Angel Boris,,,,,
Angel Brown,,12/7/1962,,,
Angel Cake,,,,,
Angel Cakes,34A-28-32,,,5-1,110
Angel Caliente,37D-26-38,8/19/1970,,5-9,119
Angel Cassidy,34D-24-34,2/3/1976,Blonde,5-8,121
Angel Cummings,36C-26-36,3/2/1990,,5-4,106
Angel Dark,32C-24-37,4/11/1982,Brown/Red,5-9,118
Angel Deelight,34C-25-37,5/31/1978,,5-1,
Angel Del Rey,34B-23-29,10/5/1991,,5-7,99
Angel Deluca,32GG-31-42,7/21/1987,,5-11,181
Angel Dwaine,,,,,
Angel Eyes,34C-26-36,8/19/1980,Black,5-7,145
Angel Felon,,,,,
Angel Fire,32C-23-34,4/11/1977,,5-4,97
Angel Flirt,,,,,
Angel Garcia,,,,,
Angel Gee,36F-30-38,3/25/1981,,4-8,123
Angel Hott,34B-24-33,6/30/1993,,5-5,106
Angel Idlewild,,,,,
Angel Jay,34D-24-36,9/27/1969,,4-5,99
Angel Kelly,,,,,
Angel Kiss,34C-24-38,,,5-11,110
Angel Lee,,3/16/1994,,,
Angel Lips,,,,,
Angel Long,34A-24-34,11/21/1980,Blonde,6-1,121
Angel Lopez,,,,,
Angel Love,34C-24-35,8/28/1988,,5-4,115
Angel Madrid,36C-27-36,2/16/1977,,5-2,121
Angel Marie,32B-24-32,7/1/1985,,5-9,
Angel Paradise,,,,,
Angel Piaff,34B-25-35,11/30/1990,,5-6,106
Angel Pink,32A-22-33,6/17/1989,,5-4,108
Angel Rain,36E-24-36,6/1/1981,,5-9,110
Angel Ray,,9/27/1969,,5-8,146
Angel Reece,32DD-25-32,,,5-7,110
Angel Reigh,,,,,
Angel Rivas,32D-24-34,6/4/1991,,5-9,108
Angel Sin,38FF-38-46,4/9/1974,,5-4,225
Angel Smalls,34A-24-34,12/11/1993,,4-8,86
Angel Snow,32C-26-37,1/15/1979,,5-2,132
Angel Spice,,,,,
Angel Sweet,,7/9/1981,,,
Angel Vain,34DD-30-36,1/26/1986,,5-1,119
Angel Valentine,34C-25-35,9/19/1986,,5-7,119
Angel Velvet,,,,,
Angel White,,,,,
Angel Wicky,38DD-26-36,4/8/1991,,5-9,132
Angel Wild,,10/30/1982,,,
Angela Aspen,36DD-30-38,7/21/1981,,5-10,150
Angela Attison,34D-31-32,12/8/1974,,5-1,106
Angela Bright,,,,,
Angela Crystal,34B-24-34,1/14/1982,Blonde,5-5,99
Angela Dangelo,,3/19/1961,,,
Angela Devi,,,,,
Angela Devine,,,,,
Angela Faith,34B-24-36,8/2/1960,,5-1,99
Angela Little,,,,,
Angela Michelle,,,,,
Angela Rodriguez,,8/15/1992,,5-11,
Angela Ryan,34D-26-34,7/7/1982,,5-0,121
Angela Sommers,36C-25-36,6/21/1983,,5-2,130
Angela Stone,34A-24-34,8/29/1981,Blonde,5-2,110
Angela Summers,36-24-36,11/6/1964,Blonde,5-3,114
Angela Taulane,,,,,
Angela Taylor,,,,,
Angela Tiger,,9/26/1976,,5-9,132
Angela White,42G-27-41,3/4/1985,,5-4,121
Angela Winter,No data,No data,No data,No data,No data
Angelene Black,,,,,
Angelic Diamond,,,,,
Angelica Bella,36-24-36,2/15/1970,Brown,5-7,No data
Angelica Black,,5/28/1991,,5-0,130
Angelica Blew,,,,,
Angelica Castro,36D-24-36,12/24/1982,,5-9,117
Angelica Costello,34C-24-36,6/5/1978,Brown/Blonde,5-7,125
Angelica De La Sol,37D-24-35,2/6/1979,,5-9,121
Angelica Heart,34D-25-35,6/18/1983,,5-11,121
Angelica Jordan,32A-24-33,8/7/1986,,5-1,97
Angelica Kitten,32B-24-32,5/28/1991,,5-9,119
Angelica Lane,34B-24-30,No data,Blonde,5-6,107
Angelica Lauren,,,,,
Angelica Meow,32D-22-33,7/7/1987,,5-1,130
Angelica Raven,34G-26-39,9/6/1983,,5-4,126
Angelica Saige,34C-24-38,6/29/1989,,5-7,130
Angelica Saint,36C-26-32,11/23/1985,,5-11,117
Angelica Sin,36DD-25-34,4/9/1974,Brown,5-7,125
Angelica Taylor,32F-28-35,5/28/1991,,5-0,121
Angelica Wild,34DD-24-33,10/30/1982,,5-9,130
Angelik Duval,36AA-23-34,8/26/1987,,5-7,110
Angelina Adelle,,,,,
Angelina Armani,34C-25-32,11/18/1987,,5-10,128
Angelina Ash,No data,No data,Blonde,5-3,121
Angelina Blue,,,,,
Angelina Bonet,,,,,
Angelina Brill,36A-25-36,8/2/1995,,5-7,119
Angelina Castro,42F-30-42,9/6/1982,,5-9,157
Angelina Chung,34B-32-34,12/2/1993,,5-9,130
Angelina Croft,,,,,
Angelina Crow,34A-22-34,6/23/1980,Black/Brown,5-2,92
Angelina Dicarlo,,,,,
Angelina Hart,No data,No data,Blonde,No data,No data
Angelina Heart,,,,,
Angelina Jolly,,,,,
Angelina Joy,,,,,
Angelina Korrs,36B-26-37,12/14/1987,,5-9,117
Angelina Lee,34C-26-38,3/16/1994,,,
Angelina Long,34A-24-35,8/17/1988,,5-5,115
Angelina Love,,8/28/1988,,,
Angelina Marie,,,,,
Angelina Mylee,,1/5/1993,,,
Angelina Rich,,,,,
Angelina Rio,,,,,
Angelina Roma,,,,,
Angelina Savage,,,,,
Angelina Sky,34A-26-32,,,5-2,115
Angelina Sweet,,,,,
Angelina Tobey,,,,,
Angelina Tyler,,,,,
Angelina Valentine,No data,No data,Brown,5-4,114
Angelina Vallem,44F-36-40,12/12/1985,,5-4,165
Angelina Vallery,,,,,
Angelina Verdi,42F-28-38,,,5-0,126
Angelina Wild,34B-25-36,9/11/1992,,5-2,106
Angelique Cummings,,,,,
Angelique Dos Santos,40-25-36,4/16/1969,Brown,5-4,132
Angelique Dubois,,,,,
Angelique Le Clair,,,,,
Angelique Long,,,,,
Angelique Morgan,36D-26-35,9/22/1975,,5-4,117
Angelique Morreau,,3/5/1981,,,
Angelique Xxx,,,,,
Angell Summers,,5/29/1987,,,
Angella Christin,,,,,
Angellina,,,,,
Angellyne Hart,,,,,
Angelo Dangelo,,,,,
Angels Elis,38D-27-37,5/6/1976,,5-4,
Angie Andrews,34C-26-36,,,,
Angie Angel,,5/12/1979,,,
Angie Blond,,,,,
Angie Dove,34B-24-34,,,5-2,126
Angie Emerald,34B-24-36,5/4/1993,,5-9,130
Angie George,,,,,
Angie Hard,34B-25-37,3/26/1984,,5-9,
Angie Knight,34B-25-37,5/3/1988,,5-9,
Angie Koks,,4/6/1992,,,
Angie Labelle,,,,,
Angie Noir,,9/10/1966,,,
Angie Savage,34B-23-34,11/12/1981,Blonde,5-6,112
Angie Scott,33B-24-35,4/2/1983,Blonde,5-6,101
Angila Beth,,,,,
Angy Pink,36D-24-36,2/17/1991,,5-4,106
Ani Blackfox,,11/12/1990,,,
Anife,,,,,
Anika Fox,35A-25-36,11/20/1985,,5-2,126
Anika X,,,,,
Anikka Albrite,,10/28/1984,,,
Anila Avana,,,,,
Anina Silk,,7/1/1996,,,
Anissa Kate,,5/7/1987,,,
Anita Arden,,,,,
Anita Babe,,,,,
Anita Bellini,,11/28/1994,,,
Anita Black,,4/4/1980,,,
Anita Blond,,5/27/1976,,,
Anita Blonde,36C-23-36,5/27/1976,Black/Blonde,5-8,114
Anita Blue,32C-24-30,8/7/1983,Blonde,5-5,112
Anita Cannibal,,,,,
Anita Cook,,,,,
Anita Dark,34D-22-32,4/11/1975,Brown/Blonde,5-6,103
Anita Dulce,,,,,
Anita Ferrari,39D-26-36,4/18/1985,,5-9,119
Anita Gyongy,,,,,
Anita Hengher,,,,,
Anita L,,11/28/1994,,,
Anita Lay,,,,,
Anita Line,,,,,
Anita Paris,,1/22/1980,,,
Anita Peach,,11/10/1983,,,
Anita Pearl,,12/27/1987,,,
Anita Peida,34B-26-38,,,5-4,128
Anita Queen,36DD-27-36,12/27/1978,Black/Brown,5-7,No data
Anita Ribeiro,,7/2/1986,,5-10,110
Anita Rinaldi,,,,,
Anita Sparkle,,,,,
Anita Too,36B-27-36,7/21/1978,Brown/Blonde,5-6,112
Anita Toro,,,,,
Anita Vixen,,,,,
Anja Juliette Laval,,,,,
Anjali Kara,,2/23/1982,,,
Anjali,No data,No data,Black/Sandy Blonde,No data,No data
Anjanette Astoria,,8/21/1973,,,
Anjelica Lauren,36D-24-36,11/8/1971,Brown,5-5,125
Anjii Ross,38K-32-38,11/19/1986,,5-10,170
Anka Romensky,,,,,
Ann Asner,,,,,
Ann Calis,42DD-32-43,,,5-7,165
Ann Harlow,30A-22-33,No data,Brown,5-2,110
Ann Kelley,,,,,
Ann Kiray,,7/23/1981,,,
Ann Marie La Sante,34B-25-34,12/23/1987,,5-7,108
Ann Marie Michaels,,,,,
Ann Marie Michelle,,,,,
Ann Marie Rios,,9/5/1981,,,
Ann Marie,34B-27-34,9/5/1981,Brown,5-4,118
Ann Parker,,8/9/1979,,,
Ann Poll,,,,,
Ann Stefani,,8/16/1982,,,
Anna Amore,38DD-25-36,4/7/1967,Black,5-6,129
Anna Beck,,,,,
Anna Bell Peaks,,7/26/1981,,,
Anna Bell,,7/26/1981,,,
Anna Bella,,6/17/1991,,,
Anna Belle,34C-24-34,12/12/1981,Blonde,5-3,105
Anna Bergman,,,,,
Anna Carlene,34F-25-34,5/17/1986,,5-7,148
Anna De Ville,,4/24/1997,,,
Anna Doll,34B-24-36,,,,
Anna Eden,,7/6/1982,,,
Anna Halo,,,,,
Anna James,,,,,
Anna Joy,,8/16/1979,,,
Anna Karenina,34B-24-36,10/11/1983,,5-0,
Anna Kay,,12/6/1983,,,
Anna Key,,12/6/1983,,,
Anna King,,,,,
Anna Kove,,,,,
Anna Kubatova,,,,,
Anna Lee,,,,,
Anna Lisa,,8/16/1982,,,
Anna Loren,,,,,
Anna Love,,11/4/1979,,,
Anna Lovejoy,,,,,
Anna Malle,34D-24-36,9/14/1967,Black,5-7,114
Anna Marie Anderson,,,,,
Anna Marie Goddard,,,,,
Anna Marie,34C-26-34,1/20/1980,Brown/Blonde,5-7,No data
Anna May,,,,,
Anna Miller,35C-22-34,4/29/1982,Brown,5-8,123
Anna Mills,,8/4/1979,,,
Anna Nicole,,2/27/1976,,,
Anna Nikova,,,,,
Anna Nova,36D-24-38,6/5/1975,Black/Brown/Blonde,5-6,127
Anna Ohura,,,,,
Anna Pierceson,,11/9/1982,,,
Anna Polina,,9/11/1989,,,
Anna Rose,,9/5/1995,,,
Anna Siline,,6/2/1992,,,
Anna Skye,,,,,
Anna Sommar,,,,,
Anna Song,40FF-24-36,7/6/1987,,5-2,121
Anna Stevens,34A-26-36,7/26/1986,,5-9,130
Anna T,,5/21/1991,,,
Anna Tatu,32C-25-36,6/3/1991,,5-11,119
Anna Taylor,,11/7/1989,,,
Anna Volkova,,,,,
Annabel Chong,34C-25-35,5/22/1972,Black,5-4,No data
Annabella May,,,,,
Annabelle Brady,36B-26-36,3/17/1955,,5-2,126
Annabelle Dayne,,,,,
Annabelle Lee,,11/9/1982,,,
Anne Body,,,,,
Anne Gaybis,,,,,
Anne Howe,,,,,
Anne Malvil,,,,,
Anne Marie,,1/18/1984,,5-2,
Anne Melbourne,34C-24-34,,,5-7,117
Annellise Croft,36E-28-36,7/2/1965,,5-11,141
Annette Allen,,,,,
Annette Christianson,34G-26-36,9/7/1976,,5-0,135
Annette Haven,34B,12/1/1954,Brown,5-5,110
Annette Schwarz,34C-26-40,3/26/1984,Blonde,5-11,No data
Anngel Mia,,,,,
Annie Berry,,,,,
Annie Body,,10/14/1968,,,
Annie Cruz,32C-24-36,11/6/1984,Brown,5-6,107
Annie Lee,,2/23/1987,,,
Annie Marie,,,,,
Annie Rose,35A-24-36,11/2/1987,,5-2,121
Annie Sprinkle,No data,7/23/1954,Brown,No data,No data
Annie Swanson,42DDD-28-36,3/22/1981,,4-6,130
Annie Whorehall,36B-28-30,,,5-4,99
Annika Adams,,8/21/1991,,,
Annika Amour,,2/26/1988,,,
Annmarie Michelle,,,,,
Anny Aurora,,9/20/1996,,,
Anny Gastro,,,,,
Anny Lee,,2/23/1987,,,
Annya Marie,32D-28-34,,,4-6,104
Anorei Collins,,7/13/1986,,,
Anthony Paul,,,,,
Antonella Del Lago,,12/27/1964,,,
Antonia Deona,,12/6/1980,,,
Antonia Sainz,,12/14/1992,,,
Antonia Starr,,,,,
Antonia Swit,,,,,
Antonio Adamo,,7/30/1957,,,
Antonio Passolini,,,,,
Antonio Rey,,,,,
Antonya,,2/14/1990,,,
Antynia Rouge,34B-25-36,4/18/1986,,5-2,119
Any Vega,34A-23-34,1/9/1992,,5-4,104
Anya Amsel,,,,,
Anya Cox,,,,,
Anya Ivy,,1/28/1992,,,
Anya Olsen,,9/27/1994,,,
Anya Wood,,,,,
Aphrodite Night,33-23-34,4/29/1986,Dark Brown,5-4,94
Apolonia,,4/27/1992,,,
April Adams,,,,,
April Arikssen,,,,,
April Aubrey,,,,,
April Bell,,8/20/1978,,,
April Blossom,36C-24-34,No data,Brown/Blonde,5-6,110
April Blue,,9/10/1991,,,
April Diamond,,,,,
April Flores,,4/30/1976,,,
April Flowers,34-25-35,3/28/1978,Blonde,5-8,134
April May,,,,,
April Mckenzie,42H-32-40,7/25/1984,,5-6,146
April McKinney,,,,,
April Oneil,,4/7/1987,,,
April Rayne,,8/21/1967,,,
April Turner,,,,5-2,112
April West,,11/20/1965,,,
Aqua Hazel,34D-27-34,No data,Brown,5-5,127
Arabelle Raphael,,2/27/1989,,,
Aracely Gonzales,,,,,
Aracoeli Nin,34C-23-33,4/26/1988,,5-5,110
Araya Robinson,,,,,
Araya Sun,34D-24-32,7/4/1989,,5-7,135
Arcadia Davida,32B-,11/3/1982,Black,5-1,96
Arcadia Lake,,,,,
Arch Lena,,,,,
Arch Trina,,,,,
Arden Delaney,,,,,
Aretuza Lemos,,,,,
Aria Alexander,,3/25/1995,,,
Aria Aspen,,7/21/1989,,,
Aria Austin,,,,,
Aria Giovanni,34D-25-35,10/3/1977,Dark Brown,5-6,123
Aria Lewka,,,,,
Aria Noir,34C-23-36,9/14/1975,Brown,5-4,121
Aria Rae,,,,,
Ariana Angel,34F-28-34,6/15/1986,,5-11,135
Ariana Brown,32C-25-39,4/2/1997,,5-7,
Ariana Fox,,7/6/1991,,,
Ariana Grand,,7/21/1994,,,
Ariana Jollee,34C-24-34,9/29/1982,Brown,5-2,103
Ariana Marie,,4/13/1993,,,
Ariana Mistry,36C-25-38,,,5-11,121
Ariana Rich,,,,,
Arianna Alyse,,,,,
Arianna Gold,,,,,
Arianna Jay,,5/15/1988,,,121
Arianna Knight,35C-24-37,,,5-3,130
Arianna La Barbara,,,,,
Arianna Sinn,,,,,
Arianna Sky,,,,5-11,128
Ariel Adore,,,,,
Ariel Alexis,34D-26-36,6/26/1984,Black,5-4,No data
Ariel Everitts,,,,,
Ariel Knight,,5/14/1964,,,
Ariel Rebel,,9/23/1985,,,
Ariel Rose,,9/28/1988,,,
Ariel Santiago,,,,,
Ariel Stonem,,,,,
Ariel Summers,34B-25-35,9/4/1984,Blonde,5-5,114
Ariel Teens,,,,,
Ariel Winters,,,,,
Ariel X,,5/15/1980,,,
Ariella Ferrera,34DD-25-34,1/15/1979,,5-2,115
Arielle Lee,,,,,
Aries Knightly,,,,,
Aries Stone,32B-26-35,4/7/1987,,5-6,106
Arika Foxx,34D-28-36,9/21/1989,,5-4,128
Aris Dark,,9/28/1985,,,
Arkida Revees,,,,,
Armani Knight,32D-24-33,1/23/1980,,5-7,99
Armani Monae,,,,,
Armani St James,,,,,
Armany Cash,36C-28-40,,,5-9,141
Arowyn White,38D-26-36,5/11/1971,,5-9,130
Artemis Faux,,,,,
Artie Nolan,,,,,
Aruba Jasmine,,7/3/1988,,,
Aruna Aghora,,10/30/1991,,,
Aryana Adin,,12/1/1988,,,
Aryana Augustine,,5/14/1987,,,
Aryana Starr,,3/8/1980,,,
Arynn Star,,,,,
Asa Akira,32C-24-34,1/2/1986,,5-1,106
Asa Of Spades,,1/1/1970,,5-3,115
Asami Jo,,,,,
Ash Hollywood,,5/27/1989,,,
Asha Marie,,,,,
Ashden Breeze,,9/24/1990,,,
Ashden Rivers,36C-25-36,6/14/1990,,5-0,135
Ashden Wells,,,,5-9,123
Ashdon James,,,,5-7,123
Ashlee Cleveland,,,,,
Ashlee Raine,34D-27-36,1/1/1985,,5-4,126
Ashlee Roberts,,1/21/1985,,,
Ashley Abott,,,,,
Ashley Adams,36D-24-35,No data,Brown,5-9,123
Ashley Allen,34-24-34,7/2/1968,No data,No data,No data
Ashley Anders,No data,No data,Blonde/Honey Blonde,No data,No data
Ashley Anderson,,7/28/1996,,,
Ashley Anne,,,,,
Ashley Bell,,,,,
Ashley Blue,34A-26-34,7/8/1981,Brown,5-2,107
Ashley Brooke,,5/5/1973,,,
Ashley Brooks,,,,,
Ashley Brown,,,,,
Ashley Bulgari,36C-24-37,9/28/1986,,5-6,110
Ashley Cobain,,,,,
Ashley Coda,,2/19/1984,,,
Ashley Dawn,34DD-26-34,,,5-2,137
Ashley Doll,,,,,
Ashley Edmonds,34C-24-36,9/25/1983,,5-11,115
Ashley Evans,48HH-24-36,2/26/1975,Brown,5-6,121
Ashley Fires,32B-26-34,3/2/1982,Blonde,5-1,114
Ashley Fox,32C-28-34,,,5-7,130
Ashley Foxxx,32C-28-34,No data,Black,5-9,129
Ashley Gracie,34B-25-34,No data,Auburn,5-6,110
Ashley Graham,,6/29/1989,,,
Ashley Haven,,,,,
Ashley Haze,32B-28-34,2/14/1982,Red,5-5,114
Ashley Hurley,,,,,
Ashley Jane,,3/2/1987,,,
Ashley Jensen,32C-26-32,4/5/1987,Blonde,5-2,105
Ashley Jessop,,,,,
Ashley Johnson,,,,,
